Aadhar_No,Name,E-mail,Phone_No,Age,Gender,City,Monthly_Income,Education,Recharge_Frequency,Streaming_Services_Count,Streaming_Payment_Delay_Days,VPN_Hours_Week,Betting_App_Present,UPI_Failures_per_month,SIM_Card_Changes,Trading_Accounts,Family_Defaulters,Partner,Dependents,Medical_Bills,Utility_Bill_Monthly,Utility_Bill_Defaults_per_year,Ecommerce_Returns_per_month,Registered_Vehicles,Vehicle_Challans_per_year,Certificates_Count,Licenses_Count,Insurances_Count,FDs_Dissolved,International_Transactions_per_year,Public_Memberships,Smart_Cards,Family_Accounts_Opened,Ride_Review_Score,Pet_Bills_per_year,Truecaller_Flag,Reviews_Received_Category,Social_Sentiment
541507790259,Aryan Maharaj,chadbhavini@example.net,3014948029,46,Female,TIER-I,36328.0,Tertiary or more,2,0.0,1,3.5,1,0.0,0,0,0,Currently Married,3,214,1792.0,0,2,1,0,0,1,0,0,0,0,0,1,4.3,0,Golden,4 Star,Negative
495924837646,Udant Dewan,shravyamandal@example.org,9664523191,52,Female,TIER-I,39671.0,Primary or less,1,2.0,2,0.4,0,1.0,0,0,0,Currently Married,1,389,1634.0,0,2,2,0,0,1,0,0,1,0,1,0,3.7,0,Golden,5 Star,Positive
558615280711,Gagan Sami,vyogi@example.com,1335683172,32,Male,VILLAGE,15207.0,Primary or less,6,1.0,2,0.0,0,4.0,0,0,1,Never Married,0,915,267.0,0,1,0,0,0,0,3,0,1,2,0,0,4.5,0,Red,4 Star,Positive
910017303572,Ayushman Chander,rwali@example.org,0417103891,65,Male,VILLAGE,10560.0,Primary or less,12,1.0,6,7.2,0,6.0,0,0,1,Currently Married,2,213,478.0,0,1,0,0,2,0,4,0,1,2,0,2,4.3,0,Golden,2 Star,Positive
540001501305,Viraj Tiwari,rbains@example.org,4050133203,24,Female,VILLAGE,7888.0,Primary or less,9,3.0,11,7.0,0,5.0,0,0,1,Never Married,0,79,253.0,0,1,0,0,1,0,0,0,0,1,0,1,3.7,0,Blue,4 Star,Negative
419800038858,Rushil Saini,fzacharia@example.com,6071487650,22,Female,TIER-III,6061.0,Primary or less,12,1.0,8,2.2,0,4.0,1,0,0,Never Married,0,160,927.0,0,1,0,0,1,0,1,0,0,0,0,0,4.6,0,Golden,5 Star,Positive
475095422324,Saumya Mall,balhaarcherian@example.net,5723163160,49,Male,TIER-I,63665.0,Secondary,2,1.0,1,2.5,0,0.0,0,0,0,Currently Married,1,156,1286.0,0,4,0,0,0,1,2,0,2,0,0,1,4.2,0,Blue,5 Star,Positive
525815370599,Nathaniel Sami,yagneshvarghese@example.org,1057039963,54,Male,VILLAGE,8616.0,Primary or less,9,0.0,5,2.4,1,6.0,1,0,2,Currently Married,5,272,1300.0,0,1,0,0,0,0,1,0,0,2,0,2,4.9,0,Golden,5 Star,Negative
751335606402,Arunima Dugal,ckaran@example.com,0059946966,24,Female,TIER-I,19474.0,Secondary,4,1.0,7,0.0,1,1.0,0,0,0,Never Married,1,112,1445.0,0,0,1,0,0,1,1,0,0,0,1,2,3.3,0,Golden,4 Star,Positive
740192412980,Gayathri Chaudry,manderyashvi@example.net,3700715800,25,Male,VILLAGE,7897.0,Primary or less,10,0.0,9,0.9,0,5.0,0,0,0,Never Married,1,586,972.0,0,0,0,1,0,0,0,0,0,0,1,0,3.0,0,Golden,4 Star,Positive
