name,city,tier,is_pet_owner,pet_type,monthly_pet_expense,vet_visits_last_year,pet_medical_expense,annual_pet_spend,has_pet_insurance
Allison Hill,Lucknow,Tier 2,1,Dog,1485.15,1,1123.02,18944.82,0
Noah Rhodes,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Angie Henderson,Chennai,Tier 1,1,Bird,1628.43,2,2741.79,22282.95,0
Daniel Wagner,Pune,Tier 2,1,Dog,1941.05,1,2437.69,25730.29,0
Cristian Santos,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Connie Lawrence,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Abigail Shaffer,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Gina Moore,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Gabrielle Davis,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Ryan Munoz,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Monica Herrera,Delhi,Tier 1,1,Dog,3495.4,0,0.0,41944.8,0
Jamie Arnold,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Lisa Hensley,Mumbai,Tier 1,0,,0.0,0,0.0,0.0,0
Michele Williams,Delhi,Tier 1,1,Dog,2948.51,1,955.94,36338.06,0
Dylan Miller,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Brian Ramirez,Ahmedabad,Tier 2,0,,0.0,0,0.0,0.0,0
Holly Wood,Jaipur,Tier 2,1,Dog,1683.46,0,0.0,20201.52,0
Derek Zuniga,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Lisa Jackson,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Carla Gray,Chennai,Tier 1,1,Dog,2169.14,0,0.0,26029.68,0
Margaret Hawkins DDS,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Patty Perez,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Ethan Adams,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Tommy Walter,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
Matthew Foster,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Judy Baker,Chennai,Tier 1,0,,0.0,0,0.0,0.0,0
Justin Baker,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Stephanie Ross,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Zachary Hicks,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Anthony Rodriguez,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Rebecca Henderson,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
James Ferrell,Jaipur,Tier 2,0,,0.0,0,0.0,0.0,0
Tricia Valencia,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Nathan Maldonado,Kanpur,Tier 3,0,,0.0,0,0.0,0.0,0
Debra Davidson,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Jeffrey Chavez,Pune,Tier 2,1,Cat,1525.68,3,6029.27,24337.43,0
Sherri Baker,Delhi,Tier 1,0,,0.0,0,0.0,0.0,0
Cassandra Gaines,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Elizabeth Fowler,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Brittany Farmer,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Paula Moreno,Indore,Tier 2,1,Cat,1221.8,1,2382.59,17044.19,0
Fred Smith,Bangalore,Tier 1,0,,0.0,0,0.0,0.0,0
Sherry Decker,Pune,Tier 2,0,,0.0,0,0.0,0.0,0
Anthony Humphrey,Hyderabad,Tier 1,1,Rabbit,2047.94,1,2175.16,26750.44,1
Angelica Tucker,Guwahati,Tier 3,0,,0.0,0,0.0,0.0,0
Philip Cannon,Lucknow,Tier 2,1,Cat,1489.08,1,2027.93,19896.89,0
John Pierce,Lucknow,Tier 2,0,,0.0,0,0.0,0.0,0
Shane Henderson,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Joshua Blair,Bangalore,Tier 1,1,Dog,1788.33,2,2172.71,23632.67,0
Eric Carney,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Jessica Holmes,Lucknow,Tier 2,1,Dog,1939.36,1,1874.26,25146.58,0
Danny Morgan,Mumbai,Tier 1,1,Cat,1772.53,2,2631.39,23901.75,0
Crystal Robinson,Chennai,Tier 1,1,Dog,2839.33,2,2435.91,36507.87,0
Mark Perez,Patna,Tier 3,0,,0.0,0,0.0,0.0,0
Shannon Jones,Ranchi,Tier 3,0,,0.0,0,0.0,0.0,0
Michael Lewis,Indore,Tier 2,0,,0.0,0,0.0,0.0,0
Timothy Duncan,Bhopal,Tier 3,0,,0.0,0,0.0,0.0,0
Richard Aguirre,Hyderabad,Tier 1,0,,0.0,0,0.0,0.0,0
