Aadhar No.,Name,Age,Gender,City,E-mail,Phone No.,Occupation,Education,VPN Usage (hours per week),SIM Card Changes,Trading Accounts,Recharge Frequency,Partner,Dependents,Streaming Services,Payment Delay of Streaming Services (per year),Family Defaulters,Smart Cards,Medical Bills,Default in GST filing (per quarter),Antivirus Subscriptions,Betting Apps,TrueCaller Flag,Shopping Behavior (returns per month),Utility Bills (per month),Registered Vehicles,Registered Vehicles Challan (per year),Certificates,Licenses,Insurances,FDs Dissolved,International Transactions,Public Memberships,Reviews received,Pet Bills (per year),Accounts,Sentiment on Social Media,UPI Failures
223005401501,Aryan Maharaj,34.0,Female,TIER-I,udantdewan@example.net,+918196001338,Homemakers,Primary or less,10.67,2.0,2.0,1.0,Never Married,1.0,4.0,0.0,2.0,2.0,16770.6,0.0,1.0,No,Blue,2.0,7937.0,0.0,1.0,0.0,0.0,2.0,,4.0,0.0,4 Star,32024.1,0.0,Strongly Negative,
911856239313,Rushil Saini,56.0,Female,TIER-I,saumyamall@example.org,+916542351161,Retired/Pensioners,Primary or less,12.78,1.0,1.0,1.0,Currently Married,3.0,2.0,3.0,4.0,2.0,2775.3,1.0,1.0,Yes,Golden,0.0,8867.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,3 Star,29937.4,1.0,Negative,51.0
367469214295,Hemangini Lalla,44.0,Female,TIER-I,sharafjeet@example.com,+918495931034,"Government Employees (Civil Services, Defense, Police)",Primary or less,7.75,3.0,1.0,2.0,Currently Married,4.0,3.0,2.0,5.0,3.0,5064.5,1.0,2.0,No,Red,1.0,7134.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,0.0,5 Star,86098.3,3.0,Strongly Negative,16.0
251282538206,Viraj Chaudhuri,40.0,Female,VILLAGE,dmall@example.net,02553419283,Agriculturalists (Farmers),Primary or less,5.96,2.0,1.0,1.0,Never Married,4.0,3.0,1.0,5.0,3.0,11090.5,1.0,1.0,No,Blue,2.0,13257.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,4 Star,63615.6,2.0,Strongly Negative,26.0
214832269481,Turvi Raghavan,26.0,Female,VILLAGE,theodore50@example.org,+915641395376,Students,Primary or less,6.29,2.0,1.0,1.0,Never Married,4.0,2.0,1.0,3.0,3.0,8435.1,0.0,1.0,No,Blue,0.0,10961.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,2 Star,910.1,,Neutral,39.0
914655221101,Luke Lanka,26.0,Female,VILLAGE,yatinyohannan@example.com,9696532871,Students,Primary or less,10.14,1.0,2.0,1.0,Widowed,6.0,1.0,3.0,4.0,3.0,9327.9,1.0,2.0,No,Blue,1.0,10908.0,1.0,0.0,0.0,1.0,2.0,1.0,10.0,0.0,5 Star,39041.9,1.0,Neutral,31.0
700832336208,Imaran Dua,22.0,Female,VILLAGE,pahalbhatt@example.com,09784801845,Agriculturalists (Farmers),Primary or less,8.78,1.0,2.0,2.0,Currently Married,7.0,2.0,3.0,2.0,3.0,6602.5,1.0,1.0,No,Blue,0.0,6530.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,3 Star,26920.2,0.0,Neutral,24.0
748913461122,Chaaya Saran,50.0,Female,VILLAGE,sudikshaaggarwal@example.net,4828148932,Salaried/Employed (Private/Public Sector),Primary or less,7.98,1.0,2.0,3.0,Never Married,2.0,4.0,2.0,0.0,2.0,10061.3,0.0,1.0,No,Blue,0.0,11247.0,1.0,0.0,0.0,1.0,1.0,0.0,28.0,0.0,5 Star,54285.0,3.0,Neutral,17.0
136171878809,Neel Zacharia,40.0,Female,VILLAGE,naikvrinda@example.org,+915430391171,Salaried/Employed (Private/Public Sector),Primary or less,4.92,1.0,1.0,3.0,Currently Married,2.0,4.0,0.0,0.0,3.0,2962.7,2.0,1.0,No,Blue,0.0,11441.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,4 Star,28668.8,2.0,Positive,49.0
198912225902,Kabir Soman,44.0,Male,VILLAGE,alkawable@example.net,03834657871,Homemakers,Primary or less,12.67,1.0,1.0,1.0,Currently Married,2.0,1.0,2.0,2.0,3.0,4498.9,1.0,1.0,No,Blue,,3262.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,4 Star,30781.0,2.0,Negative,39.0
354342113419,Umang Bhatt,20.0,Male,VILLAGE,ansh98@example.org,3010310518,Students,Primary or less,11.17,0.0,0.0,2.0,Currently Married,3.0,4.0,2.0,1.0,1.0,631.2,0.0,1.0,No,Blue,1.0,7716.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,2 Star,14167.6,2.0,Positive,27.0
763595448017,Arya Sunder,59.0,Female,VILLAGE,kevinsolanki@example.org,06311656670,Students,Tertiary or more,4.03,2.0,2.0,1.0,Currently Married,1.0,2.0,1.0,2.0,3.0,7627.1,1.0,0.0,No,Blue,0.0,12990.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,5 Star,19891.8,0.0,Negative,13.0
714294294451,Darsh Rau,49.0,Female,VILLAGE,ikbal33@example.org,7262473178,Homemakers,Primary or less,6.8,1.0,1.0,1.0,Divorced,4.0,3.0,3.0,1.0,3.0,15314.0,1.0,1.0,Yes,Golden,0.0,8035.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4 Star,88496.1,3.0,Positive,25.0
886833016361,Chandresh Zachariah,28.0,Male,VILLAGE,chanderwarjas@example.org,07736026064,Homemakers,Primary or less,8.53,1.0,1.0,2.0,Never Married,1.0,3.0,2.0,1.0,2.0,11450.8,1.0,1.0,No,Red,1.0,9047.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,4 Star,2742.5,1.0,Neutral,63.0
871590378377,Bhavika Sampath,27.0,Male,VILLAGE,mdubey@example.com,+910980500978,Agriculturalists (Farmers),Primary or less,7.67,2.0,1.0,1.0,Never Married,5.0,4.0,4.0,1.0,4.0,8905.8,1.0,1.0,No,Golden,0.0,10495.0,0.0,0.0,1.0,0.0,2.0,1.0,8.0,0.0,4 Star,45260.0,4.0,Neutral,50.0
561902006518,Dakshesh Trivedi,27.0,Female,VILLAGE,grewalekapad@example.net,+913619399091,"Self-employed Professionals (Doctors, Lawyers, Chartered Accountants)",Primary or less,7.11,2.0,2.0,2.0,Currently Married,1.0,4.0,2.0,5.0,2.0,15830.2,0.0,1.0,No,Golden,1.0,5667.0,1.0,0.0,0.0,3.0,2.0,1.0,6.0,0.0,3 Star,14781.0,4.0,Strongly Negative,20.0
590573056992,Diya Lal,31.0,Male,VILLAGE,diptakhare@example.com,02475107991,Homemakers,Primary or less,10.39,2.0,1.0,1.0,Never Married,3.0,2.0,3.0,0.0,2.0,7896.5,0.0,2.0,Yes,Blue,1.0,13407.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,4 Star,10628.6,4.0,Neutral,31.0
407473554860,Tanay Toor,38.0,Female,TIER-I,kevin51@example.org,04278498084,Homemakers,Primary or less,2.27,1.0,1.0,1.0,Widowed,2.0,3.0,2.0,1.0,4.0,9220.4,1.0,1.0,No,Blue,0.0,4537.0,0.0,0.0,0.0,,2.0,1.0,20.0,0.0,4 Star,97327.9,4.0,Positive,26.0
933251567391,Krish Lalla,35.0,Female,VILLAGE,chhabranachiket@example.com,09353487401,,Primary or less,7.83,1.0,1.0,2.0,Currently Married,3.0,1.0,2.0,1.0,3.0,7795.0,1.0,1.0,Yes,Blue,1.0,14936.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,4 Star,51587.5,3.0,Positive,
275259659197,Aradhana Basu,31.0,Male,VILLAGE,nathkalpit@example.net,02786801128,"Self-employed Professionals (Doctors, Lawyers, Chartered Accountants)",Primary or less,5.66,1.0,1.0,1.0,Currently Married,2.0,1.0,1.0,4.0,3.0,6974.1,,1.0,No,Golden,1.0,8906.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,4 Star,22546.4,0.0,Strongly Negative,27.0
566854953850,Kala Divan,41.0,Female,VILLAGE,cdatta@example.com,00533158692,Agriculturalists (Farmers),Tertiary or more,3.0,0.0,2.0,1.0,Never Married,1.0,3.0,2.0,4.0,1.0,192.9,1.0,2.0,Yes,Blue,1.0,8465.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,5 Star,37179.3,1.0,Neutral,32.0
406404042870,Nicholas Goel,26.0,Male,VILLAGE,lbakshi@example.net,06342160733,Agriculturalists (Farmers),Primary or less,7.77,0.0,1.0,2.0,Never Married,5.0,3.0,1.0,1.0,3.0,13322.7,0.0,1.0,Yes,Blue,1.0,11849.0,0.0,0.0,,1.0,1.0,1.0,28.0,0.0,3 Star,60751.6,2.0,Negative,32.0
336890980656,Inaya Mody,31.0,Female,VILLAGE,udantbajwa@example.net,+916541458685,"Government Employees (Civil Services, Defense, Police)",Primary or less,4.49,2.0,2.0,2.0,Currently Married,2.0,3.0,0.0,1.0,4.0,,0.0,1.0,No,Blue,1.0,17581.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,2 Star,10843.6,2.0,Neutral,16.0
941629821539,Jack Lal,33.0,Female,VILLAGE,alkabarad@example.org,6556981693,Salaried/Employed (Private/Public Sector),Primary or less,5.61,1.0,2.0,1.0,Never Married,2.0,0.0,1.0,1.0,2.0,4570.8,0.0,1.0,No,Golden,1.0,10639.0,1.0,0.0,0.0,1.0,2.0,1.0,9.0,0.0,1 Star,12711.5,2.0,Neutral,21.0
213114812281,Chaitanya Sarin,36.0,Male,TIER-I,venkateshronith@example.com,01595148465,Agriculturalists (Farmers),Primary or less,8.18,0.0,0.0,1.0,Currently Married,3.0,1.0,3.0,3.0,3.0,4702.9,2.0,0.0,No,,1.0,8964.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,5 Star,14821.1,3.0,Neutral,33.0
517010168081,Chakrika Datta,47.0,Male,VILLAGE,osharaghavan@example.net,2994680443,Homemakers,Primary or less,15.79,2.0,1.0,1.0,Currently Married,1.0,1.0,,3.0,3.0,6661.1,0.0,1.0,No,Blue,1.0,16882.0,0.0,1.0,0.0,1.0,3.0,0.0,10.0,0.0,2 Star,62331.6,1.0,Neutral,42.0
491257417623,Ekanta Shroff,28.0,Male,TIER-III,rsathe@example.org,7214895134,Business Owners/Entrepreneurs,Primary or less,10.0,2.0,1.0,1.0,Widowed,0.0,2.0,0.0,1.0,4.0,14732.2,0.0,1.0,No,Golden,1.0,15655.0,0.0,1.0,1.0,2.0,3.0,0.0,20.0,0.0,4 Star,27515.1,3.0,Negative,9.0
481597082643,Rushil Din,38.0,Female,TIER-II,batrayash@example.com,1769367632,Laborers/Skilled Workers,Tertiary or more,5.86,1.0,3.0,,Currently Married,4.0,2.0,2.0,6.0,1.0,12539.4,1.0,1.0,No,Golden,1.0,22220.0,0.0,0.0,0.0,1.0,1.0,1.0,16.0,0.0,4 Star,16522.7,4.0,Strongly Negative,20.0
390355792387,Hredhaan Sandal,40.0,Female,VILLAGE,patrickvasa@example.com,+918317278895,Homemakers,Secondary,6.95,1.0,1.0,1.0,Currently Married,7.0,3.0,0.0,2.0,4.0,4334.6,1.0,1.0,No,Red,1.0,4523.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,0.0,4 Star,32412.4,1.0,Positive,29.0
150711229823,Yamini Sandhu,21.0,Female,VILLAGE,vdutt@example.com,04348734714,Students,Primary or less,7.19,1.0,1.0,2.0,Never Married,5.0,3.0,1.0,4.0,2.0,16741.9,1.0,1.0,No,Blue,,14994.0,1.0,0.0,0.0,1.0,2.0,1.0,13.0,0.0,4 Star,55539.4,1.0,Positive,40.0
605645347792,Anita Nayak,40.0,Female,TIER-I,faris22@example.org,02316658760,"Government Employees (Civil Services, Defense, Police)",Primary or less,4.23,1.0,2.0,2.0,Never Married,4.0,2.0,1.0,1.0,1.0,12023.6,1.0,1.0,No,Golden,0.0,17959.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,5 Star,62841.2,4.0,Neutral,15.0
235447068293,Osha Ramachandran,27.0,Female,VILLAGE,raivansha@example.org,04668893734,Salaried/Employed (Private/Public Sector),Tertiary or more,4.33,1.0,1.0,2.0,Currently Married,4.0,3.0,2.0,1.0,2.0,9397.4,1.0,0.0,No,Golden,2.0,9871.0,1.0,,1.0,0.0,2.0,,18.0,0.0,5 Star,31648.4,3.0,Neutral,14.0
