PersonID,Name,City,Tier,Earning Member,Account Type
1,Allison Hill,Delhi,Tier 1,Yes,Recurring Deposit
1,Allison Hill,Delhi,Tier 1,Yes,Minor Account
1,Allison Hill,Delhi,Tier 1,Yes,Current Account
1,Allison Hill,Delhi,Tier 1,Yes,PPF Account
2,Noah Rhodes,Delhi,Tier 1,Yes,NPS Account
2,Noah Rhodes,Delhi,Tier 1,Yes,Savings Account
3,Angie Henderson,Delhi,Tier 1,Yes,Minor Account
3,Angie Henderson,Delhi,Tier 1,Yes,Savings Account
3,Angie Henderson,Delhi,Tier 1,Yes,Fixed Deposit
4,Daniel Wagner,Mumbai,Tier 1,No,Recurring Deposit
4,Daniel Wagner,Mumbai,Tier 1,No,Joint Account
4,Daniel Wagner,Mumbai,Tier 1,No,Fixed Deposit
4,Daniel Wagner,Mumbai,Tier 1,No,Salary Account
4,Daniel Wagner,Mumbai,Tier 1,No,Savings Account
5,Cristian Santos,Mumbai,Tier 1,Yes,Fixed Deposit
5,Cristian Santos,Mumbai,Tier 1,Yes,Salary Account
5,Cristian Santos,Mumbai,Tier 1,Yes,Current Account
5,Cristian Santos,Mumbai,Tier 1,Yes,Joint Account
6,Connie Lawrence,Delhi,Tier 1,Yes,PPF Account
6,Connie Lawrence,Delhi,Tier 1,Yes,Minor Account
7,Abigail Shaffer,Chennai,Tier 1,Yes,Joint Account
7,Abigail Shaffer,Chennai,Tier 1,Yes,Current Account
8,Gina Moore,Hyderabad,Tier 1,Yes,PPF Account
8,Gina Moore,Hyderabad,Tier 1,Yes,Recurring Deposit
8,Gina Moore,Hyderabad,Tier 1,Yes,Minor Account
8,Gina Moore,Hyderabad,Tier 1,Yes,Savings Account
9,Gabrielle Davis,Delhi,Tier 1,Yes,Current Account
9,Gabrielle Davis,Delhi,Tier 1,Yes,Recurring Deposit
9,Gabrielle Davis,Delhi,Tier 1,Yes,NPS Account
9,Gabrielle Davis,Delhi,Tier 1,Yes,Savings Account
10,Ryan Munoz,Hyderabad,Tier 1,Yes,Salary Account
10,Ryan Munoz,Hyderabad,Tier 1,Yes,PPF Account
10,Ryan Munoz,Hyderabad,Tier 1,Yes,Minor Account
10,Ryan Munoz,Hyderabad,Tier 1,Yes,Current Account
11,Monica Herrera,Bangalore,Tier 1,No,Salary Account
11,Monica Herrera,Bangalore,Tier 1,No,Recurring Deposit
12,Jamie Arnold,Mumbai,Tier 1,Yes,Minor Account
12,Jamie Arnold,Mumbai,Tier 1,Yes,Recurring Deposit
12,Jamie Arnold,Mumbai,Tier 1,Yes,PPF Account
12,Jamie Arnold,Mumbai,Tier 1,Yes,Salary Account
13,Lisa Hensley,Delhi,Tier 1,Yes,PPF Account
13,Lisa Hensley,Delhi,Tier 1,Yes,NPS Account
14,Michele Williams,Bangalore,Tier 1,Yes,Recurring Deposit
14,Michele Williams,Bangalore,Tier 1,Yes,Joint Account
14,Michele Williams,Bangalore,Tier 1,Yes,Minor Account
14,Michele Williams,Bangalore,Tier 1,Yes,PPF Account
15,Dylan Miller,Hyderabad,Tier 1,Yes,Recurring Deposit
15,Dylan Miller,Hyderabad,Tier 1,Yes,Fixed Deposit
15,Dylan Miller,Hyderabad,Tier 1,Yes,PPF Account
16,Brian Ramirez,Chennai,Tier 1,Yes,PPF Account
16,Brian Ramirez,Chennai,Tier 1,Yes,Recurring Deposit
16,Brian Ramirez,Chennai,Tier 1,Yes,Current Account
16,Brian Ramirez,Chennai,Tier 1,Yes,Fixed Deposit
16,Brian Ramirez,Chennai,Tier 1,Yes,Joint Account
17,Holly Wood,Delhi,Tier 1,No,Salary Account
17,Holly Wood,Delhi,Tier 1,No,Minor Account
18,Derek Zuniga,Hyderabad,Tier 1,Yes,NPS Account
18,Derek Zuniga,Hyderabad,Tier 1,Yes,Joint Account
18,Derek Zuniga,Hyderabad,Tier 1,Yes,Fixed Deposit
18,Derek Zuniga,Hyderabad,Tier 1,Yes,Salary Account
18,Derek Zuniga,Hyderabad,Tier 1,Yes,Minor Account
19,Lisa Jackson,Delhi,Tier 1,Yes,Minor Account
19,Lisa Jackson,Delhi,Tier 1,Yes,Fixed Deposit
20,Carla Gray,Bangalore,Tier 1,Yes,Salary Account
20,Carla Gray,Bangalore,Tier 1,Yes,Joint Account
20,Carla Gray,Bangalore,Tier 1,Yes,Savings Account
20,Carla Gray,Bangalore,Tier 1,Yes,PPF Account
20,Carla Gray,Bangalore,Tier 1,Yes,Minor Account
21,Margaret Hawkins DDS,Chennai,Tier 1,No,Fixed Deposit
21,Margaret Hawkins DDS,Chennai,Tier 1,No,Recurring Deposit
22,Patty Perez,Mumbai,Tier 1,Yes,Minor Account
22,Patty Perez,Mumbai,Tier 1,Yes,Savings Account
22,Patty Perez,Mumbai,Tier 1,Yes,Fixed Deposit
23,Ethan Adams,Bangalore,Tier 1,Yes,PPF Account
23,Ethan Adams,Bangalore,Tier 1,Yes,Fixed Deposit
24,Tommy Walter,Mumbai,Tier 1,Yes,Current Account
24,Tommy Walter,Mumbai,Tier 1,Yes,Joint Account
25,Matthew Foster,Delhi,Tier 1,No,Salary Account
25,Matthew Foster,Delhi,Tier 1,No,Joint Account
25,Matthew Foster,Delhi,Tier 1,No,Fixed Deposit
26,Judy Baker,Mumbai,Tier 1,Yes,Recurring Deposit
26,Judy Baker,Mumbai,Tier 1,Yes,Minor Account
26,Judy Baker,Mumbai,Tier 1,Yes,PPF Account
26,Judy Baker,Mumbai,Tier 1,Yes,Salary Account
26,Judy Baker,Mumbai,Tier 1,Yes,Joint Account
27,Justin Baker,Bangalore,Tier 1,Yes,Current Account
27,Justin Baker,Bangalore,Tier 1,Yes,Recurring Deposit
27,Justin Baker,Bangalore,Tier 1,Yes,Minor Account
27,Justin Baker,Bangalore,Tier 1,Yes,Savings Account
27,Justin Baker,Bangalore,Tier 1,Yes,Salary Account
28,Stephanie Ross,Delhi,Tier 1,Yes,Recurring Deposit
28,Stephanie Ross,Delhi,Tier 1,Yes,Savings Account
