Aadhar No.,Name,Age,Phone No.,Education,VPN Usage (hours per week),SIM Card Changes,Trading Accounts,Recharge Frequency,Dependents,Streaming Services,Payment Delay of Streaming Services (per year),Family Defaulters,Smart Cards,Medical Bills,Default in GST filing (per quarter),Antivirus Subscriptions,Shopping Behavior (returns per month),Utility Bills (per month),Registered Vehicles,Registered Vehicles Challan (per year),Certificates,Licenses,Insurances,FDs Dissolved,International Transactions,Public Memberships,Reviews received,Pet Bills (per year),Accounts,UPI Failures,Gender_Female,Gender_Male,City_TIER-I,City_TIER-II,City_TIER-III,City_VILLAGE,Occupation_Agriculturalists (Farmers),Occupation_Business Owners/Entrepreneurs,Occupation_Freelancers/Consultants,"Occupation_Government Employees (Civil Services, Defense, Police)",Occupation_Homemakers,Occupation_Laborers/Skilled Workers,Occupation_Retired/Pensioners,Occupation_Salaried/Employed (Private/Public Sector),"Occupation_Self-employed Professionals (Doctors, Lawyers, Chartered Accountants)",Occupation_Students,Occupation_Unemployed/Jobseekers,Partner_Currently Married,Partner_Divorced,Partner_Never Married,Partner_Widowed,Betting Apps_No,Betting Apps_Yes,TrueCaller Flag_Blue,TrueCaller Flag_Golden,TrueCaller Flag_Red,Sentiment on Social Media_Negative,Sentiment on Social Media_Neutral,Sentiment on Social Media_Positive,Sentiment on Social Media_Strongly Negative,Sentiment on Social Media_Strongly Positive
223005401501,Aryan Maharaj,34.0,+913218196001,0,10.67,2.0,2.0,1.0,1.0,4.0,0.0,2.0,2.0,16770.6,0.0,1.0,2.0,7937.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,3,32024.1,0.0,26.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
911856239313,Viraj Tiwari,56.0,0838637940,0,12.78,1.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2775.3,1.0,1.0,0.0,8867.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2,29937.4,1.0,51.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
367469214295,Pahal Oak,44.0,02351161559,0,7.75,3.0,1.0,2.0,4.0,3.0,2.0,5.0,3.0,5064.5,1.0,2.0,1.0,7134.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,0.0,4,86098.3,3.0,16.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
251282538206,Caleb Sharaf,40.0,1618495931,0,5.96,2.0,1.0,1.0,4.0,3.0,1.0,5.0,3.0,11090.5,1.0,1.0,2.0,13257.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,3,63615.6,2.0,26.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
214832269481,Vedant Mann,26.0,+913164752553,0,6.29,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,8435.1,0.0,1.0,0.0,10961.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,1,910.1,2.0,39.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
914655221101,Ekbal Garg,26.0,3276483503,0,10.14,1.0,2.0,1.0,6.0,1.0,3.0,4.0,3.0,9327.9,1.0,2.0,1.0,10908.0,1.0,0.0,0.0,1.0,2.0,1.0,10.0,0.0,4,39041.9,1.0,31.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
700832336208,Diya Rattan,22.0,01395376724,0,8.78,1.0,2.0,2.0,7.0,2.0,3.0,2.0,3.0,6602.5,1.0,1.0,0.0,6530.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,2,26920.2,0.0,24.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
748913461122,Yatin Yohannan,50.0,09696532871,0,7.98,1.0,2.0,3.0,2.0,4.0,2.0,0.0,2.0,10061.3,0.0,1.0,0.0,11247.0,1.0,0.0,0.0,1.0,1.0,0.0,28.0,0.0,4,54285.0,3.0,17.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0
136171878809,Imaran Dua,40.0,2691669784,0,4.92,1.0,1.0,3.0,2.0,4.0,0.0,0.0,3.0,2962.7,2.0,1.0,0.0,11441.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3,28668.8,2.0,49.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
198912225902,Ishwar Yadav,44.0,05146270482,0,12.67,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4498.9,1.0,1.0,1.0,3262.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,3,30781.0,2.0,39.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
